,from,to
0,is_holiday,comp_activity
1,is_holiday,M_promo_internet
2,is_holiday,M_promo_banners
3,is_holiday,S_price
4,is_holiday,M_price
5,is_holiday,menu_type
6,is_holiday,average_purchase_items
7,is_holiday,average_paycheck
8,is_holiday,repeated_customers_number
9,is_holiday,customers_number
10,is_holiday,S_sales
11,day_type,M_promo_internet
12,day_type,average_purchase_items
13,day_type,average_paycheck
14,day_type,repeated_customers_number
15,day_type,customers_number
16,season,comp_activity
17,season,M_promo_exp
18,season,M_promo_internet
19,season,M_promo_banners
20,season,S_price
21,season,M_price
22,season,menu_type
23,season,average_purchase_items
24,season,average_paycheck
25,season,repeated_customers_number
26,season,S_sales
27,M_promo_exp,S_price
28,menu_type,M_promo_internet
29,M_sales,average_purchase_items
30,M_sales,repeated_customers_number
31,M_sales,M_price
32,S_sales,M_promo_exp
33,S_sales,menu_type
34,S_sales,repeated_customers_number
35,S_sales,M_sales
36,S_sales,S_price
