,from,to
0,address,S_price
1,day_type,average_purchase_items
2,day_type,repeated_customers_number
3,season,comp_activity
4,M_promo_internet,M_promo_exp
5,M_promo_internet,M_price
6,M_promo_internet,average_purchase_items
7,M_promo_banners,comp_activity
8,M_promo_banners,M_promo_exp
9,S_price,comp_activity
10,S_price,M_promo_internet
11,S_price,M_promo_banners
12,M_price,M_promo_banners
13,menu_type,comp_activity
14,menu_type,M_promo_exp
15,menu_type,M_promo_internet
16,menu_type,M_price
17,menu_type,M_sales
18,average_purchase_items,comp_activity
19,average_purchase_items,M_promo_exp
20,average_purchase_items,M_price
21,average_paycheck,comp_activity
22,average_paycheck,M_promo_exp
23,average_paycheck,M_promo_internet
24,average_paycheck,M_price
25,average_paycheck,average_purchase_items
26,average_paycheck,M_sales
27,repeated_customers_number,average_purchase_items
28,repeated_customers_number,S_sales
29,customers_number,average_purchase_items
30,customers_number,repeated_customers_number
31,customers_number,S_sales
32,M_sales,comp_activity
33,M_sales,M_promo_exp
34,M_sales,M_promo_internet
35,M_sales,M_price
36,M_sales,average_purchase_items
37,S_sales,M_promo_exp
38,S_sales,M_promo_internet
39,S_sales,S_price
40,S_sales,M_price
41,S_sales,M_sales
